бермудские острова	l21546
сагарматха	r23437
ламиданда	c37266
бхери	r23427
непалгандж	c37180
мальта	l10069
северная македония	l10068
юго-западный регион	r23536
охрид	c22303
северная корея	l10104
сингапур	l10105
израиль	l181
иерусалимский ао	r21801
иерусалим	c130
тель-авивский ао	r21803
тель-авив	c131
южный ао	r21802
овда	c40051
эйлат	c20797
хайфский ао	r21799
хайфа	c132
сербия	l180
округ белград	r22480
белград	c10522
златиборский округ	r22488
ужице	c29082
нишавский округ	r22492
ниш	c28278
рашский округ	r22490
кралево	c31759
южно-бачский округ	r22806
нови-сад	c39487
косовский округ	r22795
приштина	c21311
украина	l187
львовская область	r20529
немиров	c26032
краковец	c26033
новояворовск	c26030
ивано-франково	c26031
львов	c144
красное	c26037
борыня	c26034
новые стрелища	c26079
великие мосты	c26045
стоянов	c26058
щирец	c26059
стрый	c23136
пустомыты	c23568
заболотцы	c26090
радехов	c23131
самбор	c23132
сокаль	c23133
жолква	c23563
славское	c26051
городок	c23561
добросин	c26075
перемышляны	c23567
мостиска	c23566
николаев	c23565
каменка-бугская	c23564
яворов	c23572
трускавец	c23559
узловое	c26055
подкамень	c23130
магеров	c26074
новый роздол	c26065
рава-русская	c26073
дернов	c26069
судовая вишня	c26063
дубляны	c26054
сосновка	c26028
боянец	c26077
куликов	c26057
белз	c26047
угнев	c26046
бобрка	c26060
брюховичи	c26027
нижанковичи	c26040
нагачев	c26029
желдец	c26068
станиславчик	c26091
тухолька	c26049
верхнее синевидное	c26048
дрогобыч	c23556
ходоров	c26082
журавно	c26081
жидачов	c26080
комарно	c26087
моршин	c23557
стебник	c26085
борислав	c23555
буск	c23560
ожидов	c26089
золочев	c23128
старый самбор	c23570
турка	c23571
гнездычев	c26078
шегини	c26062
хыров	c23134
яблоновка	c26088
глиняны	c26070
червоноград	c23135
дедилов	c26067
меденичи	c26084
олеско	c23129
сколе	c23569
лопатин	c26056
рудки	c26053
броды	c23127
великий любень	c26086
волынская область	r20550
луков	c25760
переспа	c25766
голобы	c25785
затурцы	c25784
поворск	c25787
заболотье	c25768
торчин	c25780
люблинец	c25788
ковель	c23035
камень-каширский	c23034
старая выжевка	c23037
любомль	c23036
владимир-волынский	c23033
любешов	c23689
иваничи	c23686
киверцы	c23687
нововолынск	c23684
горохов	c23685
шацк	c23038
уховецк	c25786
колки	c25771
овадное	c25798
марьяновка	c25796
устилуг	c25797
згораны	c39254
локачи	c23688
берестечко	c23032
ратно	c23691
маневичи	c23690
турийск	c23693
рожище	c23692
луцк	c20222
черниговская область	r20551
шаповаловка	c24881
плиски	c24880
новая басань	c24883
кобыжча	c24882
новый быков	c24884
батурин	c24887
дмитровка	c24886
блистова	c24856
забаровка	c24862
хотуничи	c24823
остер	c24868
ивановка	c24827
ковпыта	c24826
кучиновка	c24825
михайло-коцюбинское	c24829
березна	c24859
малая девица	c24844
ладан	c24847
олишевка	c24828
олешня	c24841
радуль	c24840
максим	c24869
добрянка	c24842
нежин	c23178
прилуки	c23179
покошичи	c24865
понорница	c24864
макеевка	c24849
линовица	c24848
холмы	c24861
вересочь	c24860
короп	c23428
корюковка	c23429
бобровица	c23423
ичня	c23426
козелец	c23427
борзна	c23424
варва	c23425
сновск	c23180
бахмач	c23183
новгород-северский	c23187
нехаевка	c24866
иваница	c24872
замглай	c24843
хлопяники	c24835
жадово	c24836
парафиевка	c24873
ладинка	c24830
седнев	c24831
слабин	c24832
карпиловка	c24833
гремяч	c24852
любеч	c24839
шептаки	c24853
чернигов	c966
лосиновка	c24854
вертиевка	c24855
монастырище	c24874
дорогинка	c24875
мрин	c24850
новые млыны	c24822
тупичев	c24878
озеряны	c24879
городня	c23177
чемер	c24870
макошино	c24858
десна	c29768
евминка	c24867
машево	c24837
мена	c23431
куликовка	c23430
репки	c23433
носовка	c23432
сосница	c23435
семёновка	c23434
талалаевка	c23437
сребное	c23436
сумская область	r20552
ольшана	c24789
баничи	c24811
верхняя сыроватка	c24769
поповка	c24807
пироговка	c24764
шостка	c23163
воронеж (сумской)	c24766
боромля	c24767
терны	c24788
краснополье	c23513
хмелев	c24778
середина-буда	c23510
тростянец	c23511
ахтырка	c23157
дружба	c23509
бурынь	c23508
алтыновка	c24801
белополье	c23507
лебедин	c23506
ворожба	c23158
глухов	c23159
путивль	c23199
конотоп	c20553
будилка	c24796
великая писаревка	c23512
свесса	c24763
николаевка	c24783
сумы	c965
коровинцы	c24790
синевка	c24793
липовая долина	c23514
недригайлов	c23515
кириковка	c24816
ямполь	c23162
ромны	c23161
кролевец	c23160
донецкая область	r20536
благодатное	c25749
донское	c25748
талаковка	c25697
сартана	c25695
новотроицкое	c25741
родинское	c25740
владимировка	c25743
кальчик	c25745
белицкое	c25744
ольгинка	c25746
тельманово/бойковское	c23071
старобешево	c23070
урзуф	c23073
торез (чистяково)	c23072
шахтерск	c23074
алексеево-дружковка	c26557
бахмут	c23044
горловка	c23045
макеевка	c23046
дебальцево	c23047
краматорск	c20554
доброполье	c23048
дружковка	c23049
северск	c23411
славянск	c23053
новодонецкое	c23052
покровск	c23051
енакиево	c23050
белосарайская коса	c23057
амвросиевка	c23056
ясиноватая	c23055
снежное	c23054
волноваха	c23059
белозерское	c23058
зугрэс	c25699
красногоровка	c25716
курдюмовка	c25714
очеретино	c25715
новгородское	c25712
свято-покровское	c25713
мирное	c25718
свободное	c25719
украинск	c25705
горняк	c25704
новогродовка	c25706
андреевка	c25701
северное	c25700
красная поляна	c25753
углегорск	c25709
еленовка	c25708
соледар	c25756
алексеевка	c25754
моспино	c23234
угледар	c25730
новоукраинка	c25731
светлодарск	c26337
ялта	c25733
дробышево	c25734
яровая	c25735
удачное	c25739
николаевка	c29387
донецк	c142
мариуполь	c10366
авдеевка	c23228
константиновка	c23229
новоазовск	c23224
мирноград	c23225
черкасское	c25725
александровка	c23227
комсомольское (кальмиусское)	c25723
никольское	c23226
новый свет	c25721
мангуш	c23223
райгородок	c25724
кумачово	c25722
великая новоселка	c23222
железное	c40271
копани	c25758
ждановка	c23232
кировское (крестовка)	c23231
торецк	c23230
харцызск	c23237
селидово	c23235
часов яр	c25755
седово	c23068
иловайск	c23062
лиман	c23063
докучаевск	c23060
мелекино	c23066
святогорск	c23067
курахово	c23064
марьинка	c23065
днепропетровская область	r20537
лобойковка	c25657
днепр	c141
железнодорожное	c25655
просяная	c25654
марганец	c23196
перещепино	c23197
покровское	c23194
